"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"PLATFORM";"RI";"MASS";"manual_correction";"correction_tbl"
"390";"2-arachidonoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35256";NA;NA;NA;NA;"LC/MS Pos";"5524";"544.29999999999995";FALSE;NA
"391";"phenylalanylmethionine";"15080-84-9";"Peptide";"Dipeptide";"41436";"7010505";NA;"HMDB0029001";"74719, 190709";"LC/MS Pos";"2772";"297.2";FALSE;NA
"392";"phenylalanylphenylalanine";"2577-40-4";"Peptide";"Dipeptide";"38150";"6993089";NA;"HMDB0013302";"72723, 191205";"LC/MS Pos";"3317";"313.2";FALSE;NA
"393";"phenylalanylproline";"7669-65-0";"Peptide";"Dipeptide";"41392";"7020641";NA;"HMDB0011177";"74750";"LC/MS Neg";"3170";"261.2";FALSE;NA
"394";"phenylalanylserine";"16053-39-7";"Peptide";"Dipeptide";"40016";"193508";NA;"HMDB0029004";"71032";"LC/MS Pos";"1808";"253.1";FALSE;NA
"395";"phenylalanyltryptophan";"24587-41-5";"Peptide";"Dipeptide";"41377";"134906";NA;"HMDB0029006";"74751";"LC/MS Pos";"3349";"352.2";FALSE;NA
"396";"phenylalanyltyrosine";"17355-18-9";"Peptide";"Dipeptide";"41527";"13341191";NA;"HMDB0029007";"73637";"LC/MS Pos";"2630";"329.2";FALSE;NA
"397";"phenylalanylvaline";"3918-90-9";"Peptide";"Dipeptide";"41393";"7359121";NA;"HMDB0029008";"73638";"LC/MS Pos";"2570";"265.10000000000002";FALSE;NA
"398";"phosphate";"7664-38-2";"Energy";"Oxidative phosphorylation";"11438";"1004, 1061, 3681305, 1003";"C00009";"HMDB0001429, HMDB0000973, HMDB0002105, HMDB0002142, HMDB0005947";"26078, 18367, 43474, 39745";"GC/MS";"1307.7";"298.89999999999998";FALSE;NA
"399";"phosphoenolpyruvate (PEP)";"10526-80-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"597";"1005, 638308, 3674425";"C00074";"HMDB0000263";"44897, 18021, 58702";"GC/MS";"1595.4";"369";FALSE;NA
"400";"phosphoethanolamine";"1071-23-4";"Lipid";"Glycerolipid metabolism";"1600";"1015";"C00346";"HMDB0000224, HMDB0012279, HMDB0060151, HMDB0060152";"17553, 58190";"LC/MS Neg";"644";"140.1";FALSE;NA
"401";"2-arachidonoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"32815";NA;NA;NA;NA;"LC/MS Neg";"5674";"500.3";FALSE;NA
"402";"phytosphingosine";"554-62-1";"Lipid";"Sphingolipid";"1510";"122121";"C12144";"HMDB0004610";"46961, 64124";"LC/MS Pos";"5189";"318.39999999999998";FALSE;NA
"403";"pipecolate";"4043-87-2";"Amino acid";"Lysine metabolism";"1444";"849, 439227";"C00408";"HMDB0000070, HMDB0000716";"17964, 30913, 61185";"LC/MS Pos";"1120";"130.1";FALSE;NA
"404";"piperine";"94-62-2";"Xenobiotics";"Food component/Plant";"33935";"638024";"C03882";"HMDB0029377";"28821";"LC/MS Pos";"5136";"286.2";FALSE;NA
"405";"pivaloylcarnitine";NA;"Xenobiotics";"Drug";"35432";"126894";NA;"HMDB0041993";"165622";"LC/MS Pos";"2370";"246.2";FALSE;NA
"406";"pregnanediol-3-glucuronide";"1852-49-9";"Lipid";"Sterol/Steroid";"40708";"123796, 44263371";NA;"HMDB0010318";"88765";"LC/MS Neg";"5136.8999999999996";"495.4";FALSE;NA
"407";"pregnen-diol disulfate*";NA;"Lipid";"Sterol/Steroid";"32562";"219833, 101541";"C05484";"HMDB0004025, HMDB0005943";"8387";"LC/MS Neg";"3886";"238.3";FALSE;NA
"408";"pro-hydroxy-pro";"18684-24-7";"Peptide";"Dipeptide";"35127";"11902892";NA;"HMDB0006695, HMDB0029018";"74767";"LC/MS Pos";"960";"229.2";FALSE;NA
"409";"proline";"147-85-3";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1898";"8988, 145742, 614";"C00148";"HMDB0000162, HMDB0003411";"17203, 60039, 16313, 26271";"LC/MS Pos";"796";"116.1";FALSE;NA
"410";"prolylglycine";"2578-57-6";"Peptide";"Dipeptide";"40703";"6426709";NA;"HMDB0011178";"61695, 61696";"LC/MS Pos";"875";"173.1";FALSE;NA
"411";"prolylmethionine";"52899-08-8";"None";"None";"41386";"5233577, 5250073";NA;"HMDB0029023";NA;"LC/MS Pos";"1736.8";"247.1";TRUE;"completely_incompatible_manual_with_cas"
"412";"2-docosahexaenoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35883";NA;NA;NA;NA;"LC/MS Pos";"5507";"568.29999999999995";FALSE;NA
"413";"propionylcarnitine";"17298-37-2";"Lipid";"Fatty acid metabolism (also BCAA metabolism)";"32452";"188824, 107738";"C03017";"HMDB0000824, HMDB0062514";"53210, 28867";"LC/MS Pos";"1589";"218.2";FALSE;NA
"414";"prostaglandin A2";"13345-50-1";"Lipid";"Eicosanoid";"19761";"5280880, 5283092, 40488287";"C05953";"HMDB0002752, HMDB0062524";"27820, 184988, 133370";"LC/MS Neg";"4875";"333.3";FALSE;NA
"415";"prostaglandin E2";"363-24-6";"Lipid";"Eicosanoid";"7746";"5280360, 5283031, 11865423";"C00584";"HMDB0001220";"15551, 606564";"LC/MS Neg";"4562";"351.3";FALSE;NA
"416";"pseudouridine";"1445-07-4";"Nucleotide";"Pyrimidine metabolism, uracil containing";"33442";"15047";"C02067";"HMDB0000767, HMDB0006075";"17802";"LC/MS Neg";"1104";"243.1";FALSE;NA
"417";"putrescine";"110-60-1";"Amino acid";"Polyamine metabolism";"1408";"1045";"C00134";"HMDB0001414, HMDB0060243";"17148, 326268";"GC/MS";"1705.8";"174";FALSE;NA
"418";"pyridoxal";"65-22-5";"Cofactors and vitamins";"Pyridoxal metabolism";"1651";"1050";"C00250";"HMDB0001545";"17310";"LC/MS Pos";"1210";"168.1";FALSE;NA
"419";"pyridoxate";"82-82-6";"Cofactors and vitamins";"Vitamin B6 metabolism";"31555";"6723";"C00847";"HMDB0000017";"17405, 30959";"LC/MS Neg";"2210";"182.1";FALSE;NA
"420";"pyroglutamine*";NA;"Amino acid";"Glutamate metabolism";"32672";"134508";NA;"HMDB0242134";"133469";"LC/MS Pos";"764";"129.19999999999999";FALSE;NA
"421";"pyrophosphate (PPi)";"1466-09-3";"Energy";"Oxidative phosphorylation";"2078";"1023, 644102, 4097574, 4995";"C00013";"HMDB0000250, HMDB0304340";"29888, 18361, 33019, 45212";"GC/MS";"1642.3";"451";FALSE;NA
"422";"quebrachitol";"642-38-6";"Xenobiotics";"Food component/Plant";"37088";NA;"C08257";"HMDB0034221";"111";"GC/MS";"1797";"217";FALSE;NA
"423";"2-docosahexaenoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"34258";NA;NA;NA;NA;"LC/MS Pos";"5512";"526.20000000000005";FALSE;NA
"424";"quinate";"77-95-2";"Xenobiotics";"Food component/Plant";"18335";"6508";"C00296";"HMDB0003072";"17521, 29751";"GC/MS";"1793";"345.1";FALSE;NA
"425";"quinidine";"56-54-2";"Xenobiotics";"Drug";"39766";"441074";"C06527";"HMDB0015044";"28593";"LC/MS Pos";"2712.6";"325.3";FALSE;NA
"426";"quinolinate";"89-00-9";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"1899";"165390, 1066";"C03460, C03722";"HMDB0000232, HMDB0001011";"27754, 16675";"GC/MS";"1697.7";"296.10000000000002";FALSE;NA
"427";"ranitidine";"66357-59-3";"Xenobiotics";"Drug";"38595";"3001055";NA;"HMDB0001930, HMDB0005003";"8776";"LC/MS Pos";"1967";"315.10000000000002";FALSE;NA
"428";"ribitol";"488-81-3";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15772";NA;"C00474";"HMDB0000508";"15963";"GC/MS";"1692.4";"217";FALSE;NA
"429";"riboflavin (Vitamin B2)";"83-88-5";"Cofactors and vitamins";"Riboflavin metabolism";"1827";"493570";"C00255";"HMDB0000244";"17015, 57986";"LC/MS Pos";"3111";"377.2";FALSE;NA
"430";"ribose";"50-69-1";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"12080";"5779";"C00121";"HMDB0000283, HMDB0012194";"47013";"GC/MS";"1639.2";"204";FALSE;NA
"431";"ribulose";"488-84-6";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"35855";"12358756, 9920423";"C00309, C00508";"HMDB0000621, HMDB0003371";"16880, 17173";"GC/MS";"1662";"306.10000000000002";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"432";"saccharopine";"997-68-2";"Amino acid";"Lysine metabolism";"1495";"160556";"C00449";"HMDB0000279, HMDB0062698";"16927, 57951";"GC/MS";"2082.1";"357.2";FALSE;NA
"433";"salicylate";"69-72-7";"Xenobiotics";"Drug";"1515";"338";"C00805";"HMDB0001895, HMDB0015470, HMDB0302214";"16914, 30762";"LC/MS Neg";"2226";"137.1";FALSE;NA
"434";"2-docosapentaenoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"37366";NA;NA;NA;NA;"LC/MS Pos";"5532";"570.29999999999995";FALSE;NA
"435";"sarcosine (N-Methylglycine)";"107-97-1";"Amino acid";"Glycine, serine and threonine metabolism";"1516";"1088";"C00213";"HMDB0000271";"15611, 57433";"GC/MS";"1182.9000000000001";"116";FALSE;NA
"436";"scyllo-inositol";"488-59-5";"Lipid";"Inositol metabolism";"32379";NA;"C06153";"HMDB0006088, HMDB0000160";"10642";"GC/MS";"1893.8";"318.2";FALSE;NA
"437";"sedoheptulose-7-phosphate";"2646-35-7";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"35649";"92042786, 616, 165007";"C05382";"HMDB0001068, HMDB0258206, HMDB0062754";"133983, 15721, 57483";"GC/MS";"2070";"691.35";FALSE;NA
"438";"serine";"56-45-1";"Amino acid";"Glycine, serine and threonine metabolism";"1648";"5951, 617, 71077";"C00065, C00716, C00740";"HMDB0000187, HMDB0000589, HMDB0062263, HMDB0003406";"16523, 35247, 17115, 17822, 33384";"GC/MS";"1389.1";"204";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"439";"serylisoleucine*";NA;"Peptide";"Dipeptide";"40193";NA;NA;NA;NA;"LC/MS Pos";"2021";"219.2";FALSE;NA
"440";"serylleucine";"6665-16-3";"Peptide";"Dipeptide";"40066";"7015694";NA;"HMDB0029043, HMDB0094712";"74815";"LC/MS Pos";"2106";"219.2";FALSE;NA
"441";"serylphenyalanine";NA;"Peptide";"Dipeptide";"40054";NA;NA;NA;NA;"LC/MS Pos";"2348";"253.2";FALSE;NA
"442";"serylvaline";"51782-06-0";"Peptide";"Dipeptide";"42058";"7020158";NA;"HMDB0029052, HMDB0094706";"74823";"LC/MS Pos";"1501";"205.1";FALSE;NA
"443";"sorbitol";"6706-59-8";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15053";"5780";"C00794";"HMDB0000247";"17924";"GC/MS";"1843";"319.10000000000002";FALSE;NA
"444";"sorbitol 6-phosphate";"108392-12-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15699";"618, 152306";"C01096, C02810";"HMDB0005831";"743019, 17044, 60084";"LC/MS Neg";"613";"261.1";TRUE;"completely_incompatible_manual_with_cas"
"445";"1-arachidonoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"35186";"42607465";NA;"HMDB0011517";"64395";"LC/MS Neg";"5731";"500.3";FALSE;NA
"446";"2-docosapentaenoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"34875";NA;NA;NA;NA;"LC/MS Pos";"5548";"528.20000000000005";FALSE;NA
"447";"spermidine";"124-20-9";"Amino acid";"Polyamine metabolism";"485";"1102";"C00315";"HMDB0001257";"16610, 57834";"LC/MS Pos";"533";"146.19999999999999";FALSE;NA
"448";"spermine";"71-44-3";"Amino acid";"Polyamine metabolism";"603";"1103";"C00750";"HMDB0001256";"15746, 45725";"LC/MS Pos";"506";"203.2";FALSE;NA
"449";"sphinganine";"3102-56-5";"Lipid";"Sphingolipid";"17769";"91486, 46878428";"C00836";"HMDB0000269";"16566, 57817";"LC/MS Pos";"5175";"302.3";FALSE;NA
"450";"sphingosine";"123-78-4";"Lipid";"Sphingolipid";"17747";"5280335, 46878424";"C00319";"HMDB0000252, HMDB0062807";"16393, 57756";"LC/MS Pos";"5197";"300.2";FALSE;NA
"451";"squalene";"111-02-4";"Lipid";"Sterol/Steroid";"1518";"638072, 5280370";"C00751";"HMDB0000256";"15440";"GC/MS";"2205";"69";FALSE;NA
"452";"stachydrine";"4136-37-2";"Xenobiotics";"Food component/Plant";"34384";"115244";"C10172";"HMDB0004827";"35280, 134398";"LC/MS Pos";"860";"144.1";FALSE;NA
"453";"stearate (18:0)";"57-11-4";"Lipid";"Long chain fatty acid";"1358";"5281";"C01530";"HMDB0000827";"28842, 25629";"LC/MS Neg";"5886";"283.39999999999998";FALSE;NA
"454";"stearidonate (18:4n3)";"111174-40-4";"Lipid";"Long chain fatty acid";"33969";"5312508, 5282837";"C16300";"HMDB0006547";"32389, 77222";"LC/MS Neg";"5381";"275.3";FALSE;NA
"455";"stearoylcarnitine";"18822-91-8";"Lipid";"Carnitine metabolism";"34409";"52922056, 6426855";NA;"HMDB0000848, HMDB0062532";"84644, 73074";"LC/MS Pos";"5300";"428.4";FALSE;NA
"456";"streptomycin";"3810-74-0";"Xenobiotics";"Drug";"39872";"19648";NA;NA;NA;"LC/MS Pos";"543.29999999999995";"300.8";FALSE;NA
"457";"2-eicosatrienoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35884";NA;NA;NA;NA;"LC/MS Pos";"5565";"546.29999999999995";FALSE;NA
"458";"succinate";"110-15-6";"Energy";"Krebs cycle";"1437";"1110, 160419";"C00042";"HMDB0000254";"15741, 30031";"GC/MS";"1348";"247";FALSE;NA
"459";"succinylcarnitine";NA;"Energy";"Krebs cycle";"37058";NA;NA;NA;NA;"LC/MS Pos";"1401";"262.10000000000002";FALSE;NA
"460";"tartarate";"87-69-4, 6106-24-7";"Xenobiotics";"Food component/Plant";"15336";"444305, 875";"C00898";"HMDB0000956, HMDB0059916, HMDB0062642";"15671, 30924, 15674, 30929";"GC/MS";"1626.1";"292.10000000000002";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"461";"taurine";"107-35-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"2125";"1123";"C00245";"HMDB0000251";"15891, 507393";"GC/MS";"1616.4";"254.1";FALSE;NA
"462";"testosterone";NA;"Lipid";"Sterol/Steroid";"19464";"6013, 10204";"C00535";"HMDB0000234, HMDB0000628";"17347, 42534";"LC/MS Pos";"5119";"289.2";FALSE;NA
"463";"theobromine";"83-67-0";"Xenobiotics";"Xanthine metabolism";"18392";"5429";"C07480";"HMDB0002825";"28946";"LC/MS Pos";"2136";"181.1";FALSE;NA
"464";"threitol";"2418-52-2";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"35854";"169019";"C16884";"HMDB0004136";"48300";"GC/MS";"1513";"217.1";FALSE;NA
"465";"threonate";"70753-61-6";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"27738";"5460407, 439535, 21145021";"C01620";"HMDB0000943, HMDB0245425, HMDB0062620";"15908, 49060, 57561";"GC/MS";"1560.7";"292.10000000000002";FALSE;NA
"466";"threonine";"72-19-5";"Amino acid";"Glycine, serine and threonine metabolism";"1284";"6288, 99289, 205";"C00188";"HMDB0000167, HMDB0004041";"16857, 57926, 26986, 28718, 38262, 38263";"GC/MS";"1412.3";"218.1";FALSE;NA
"467";"threonylglutamate";"54532-73-9";"Peptide";"Dipeptide";"42067";"7020163";NA;"HMDB0029060";"74857";"LC/MS Pos";"819";"249.2";FALSE;NA
"468";"2-ethylhexanoate";"149-57-5";"Xenobiotics";"Chemical";"1554";"8697";NA;"HMDB0031230, HMDB0062546";"89058";"GC/MS";"1210.5";"201.2";FALSE;NA
"469";"threonylleucine";"50299-12-2";"Peptide";"Dipeptide";"40051";"7021827";NA;"HMDB0029065";"74860";"LC/MS Pos";"2204";"233.2";FALSE;NA
"470";"threonylmethionine";"90729-28-5";"Peptide";"Dipeptide";"42068";"7020164";NA;"HMDB0029067";"74861";"LC/MS Pos";"1641";"251.1";FALSE;NA
"471";"threonylphenylalanine";NA;"Peptide";"Dipeptide";"31530";"4099798, 4099799";NA;NA;NA;"LC/MS Pos";"2500";"267.2";TRUE;"completely_incompatible_manual_no_cas"
"472";"threonylvaline";"99032-17-4";"Peptide";"Dipeptide";"42011";"7020901";NA;"HMDB0029074";"90328";"LC/MS Pos";"1574.5";"219.2";FALSE;NA
"473";"thymidine";"50-89-5";"Nucleotide";"Pyrimidine metabolism, thymine containing";"39539";"5789";"C00214";"HMDB0000273";"17748";"LC/MS Neg";"1935";"284.8";FALSE;NA
"474";"thymine";"65-71-4";"Nucleotide";"Pyrimidine metabolism, thymine containing";"604";"1135";"C00178";"HMDB0000262";"17821";"GC/MS";"1429.1";"255";FALSE;NA
"475";"trans-4-hydroxyproline";"51-35-4";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1366";"5810, 69248";"C01157";"HMDB0000725, HMDB0006055, HMDB0036576";"18095, 18240, 58419, 58375, 20392";"GC/MS";"1537";"140";FALSE;NA
"476";"trans-urocanate";"104-98-3";"Amino acid";"Histidine metabolism";"607";"736715";"C00785";"HMDB0000301, HMDB0002280, HMDB0034174";"30817, 17771";"LC/MS Pos";"1119";"139.1";FALSE;NA
"477";"triethyleneglycol";"112-27-6";"Xenobiotics";"Chemical";"27743";NA;NA;NA;NA;"LC/MS Pos";"1824";"168.1";FALSE;NA
"478";"trigonelline (N'-methylnicotinate)";"6138-41-6";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"32401";"5570";"C01004";"HMDB0000875";"18123";"LC/MS Pos";"757";"138.1";FALSE;NA
"479";"2-hydroxyacetaminophen sulfate*";NA;"Xenobiotics";"Drug";"33173";NA;NA;NA;NA;"LC/MS Neg";"1703";"246.1";FALSE;NA
"480";"tryptophan";"73-22-3";"Amino acid";"Tryptophan metabolism";"54";"9060, 6305, 1148";"C00078";"HMDB0000929, HMDB0013609";"16828, 57912, 16296, 27897";"LC/MS Pos";"2445";"205.1";FALSE;NA
"481";"tryptophan betaine";"20671-76-5";"Amino acid";"Tryptophan metabolism";"37097";"442106";"C09213";"HMDB0061115";"5832";"LC/MS Pos";"2464";"247.1";FALSE;NA
"482";"tryptophylasparagine";"175027-11-9";"Peptide";"Dipeptide";"40661";NA;NA;NA;NA;"LC/MS Pos";"1963";"319.2";FALSE;NA
"483";"tryptophylglutamate";"36099-95-3";"Peptide";"Dipeptide";"41401";"3634442";NA;"HMDB0029082";NA;"LC/MS Pos";"2246";"334.2";FALSE;NA
"484";"tryptophylleucine";"13123-35-8";"Peptide";"Dipeptide";"40080";"323786";NA;"HMDB0029087";NA;"LC/MS Pos";"3369";"318.2";FALSE;NA
"485";"tyrosine";"60-18-4";"Amino acid";"Phenylalanine & tyrosine metabolism";"1299";"6057, 1153";"C00082";"HMDB0000158, HMDB0000647";"17895, 58315, 18186, 28479";"LC/MS Pos";"1516";"182.1";FALSE;NA
"486";"tyrosylalanine";"730-08-5";"Peptide";"Dipeptide";"40018";"7020632";NA;NA;NA;"LC/MS Pos";"1589.5";"253.2";TRUE;"completely_incompatible_manual_with_cas"
"487";"tyrosylglutamine";"28252-40-6";"Peptide";"Dipeptide";"41459";NA;NA;NA;NA;"LC/MS Pos";"1437";"310.2";FALSE;NA
"488";"tyrosylglycine";"673-05-5";"Peptide";"Dipeptide";"41375";"259323";NA;"HMDB0259337";NA;"LC/MS Pos";"1596.8";"239.1";FALSE;NA
"489";"tyrosylhistidine";"3788-44-1";"Peptide";"Dipeptide";"41464";NA;NA;NA;NA;"LC/MS Pos";"903";"319.2";FALSE;NA
"490";"2-hydroxybutyrate (AHB)";"3347-90-8";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"21044";"440864, 11266";"C05984";"HMDB0000008";"50613, 1148, 73709, 64552";"GC/MS";"1169.4000000000001";"130.9";FALSE;NA
"491";"tyrosylleucine";"17355-10-1";"Peptide";"Dipeptide";"40031";"7009561, 87071";NA;NA;NA;"LC/MS Pos";"2656";"295.2";TRUE;"completely_incompatible_manual_with_cas"
"492";"tyrosyllysine";"54925-88-1";"Peptide";"Dipeptide";"40656";NA;NA;NA;NA;"LC/MS Pos";"949.1";"310.2";FALSE;NA
"493";"tyrosylphenylalanine";"17355-11-2";"Peptide";"Dipeptide";"41492";"3421919";NA;"HMDB0029112";NA;"LC/MS Pos";"2890";"329.2";FALSE;NA
"494";"tyrosyltyrosine";"1050-28-8";"Peptide";"Dipeptide";"40667";"5057430, 70590";NA;NA;NA;"LC/MS Pos";"2177";"345.2";TRUE;"completely_incompatible_manual_with_cas"
"495";"tyrosylvaline";"17355-09-8";"Peptide";"Dipeptide";"41424";"7009559, 7009560";NA;NA;NA;"LC/MS Pos";"2041";"281.2";TRUE;"completely_incompatible_manual_with_cas"
"496";"undecanedioate";"1852-04-6";"Lipid";"Fatty acid, dicarboxylate";"35671";"15816";NA;"HMDB0000888";"73713";"LC/MS Neg";"2376";"215.1";FALSE;NA
"497";"uracil";"66-22-8";"Nucleotide";"Pyrimidine metabolism, uracil containing";"605";"1174";"C00106";"HMDB0000300";"17568";"GC/MS";"1370.4";"241";FALSE;NA
"498";"urate";"69-93-2, 120K5305";"Nucleotide";"Purine metabolism, urate metabolism";"1604";"1175";"C00366";"HMDB0000289";"17775";"LC/MS Neg";"769";"167.1";FALSE;NA
"499";"urea";"57-13-6";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1670";"1176";"C00086";"HMDB0000294";"16199";"GC/MS";"1223.9000000000001";"171";FALSE;NA
"500";"uridine";"58-96-8";"Nucleotide";"Pyrimidine metabolism, uracil containing";"606";"6029";"C00299";"HMDB0000296";"16704";"LC/MS Neg";"1430";"243.1";FALSE;NA
"501";"2-hydroxyglutarate";"40951-21-1";"Lipid";"Fatty acid, dicarboxylate";"37253";"43, 4609868, 439391, 5460200";"C01087, C02630";"HMDB0000606, HMDB0002323, HMDB0059655";"17084, 11596, 32796, 15801";"GC/MS";"1576";"247";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"502";"uridine monophosphate (5' or 3')";NA;"Nucleotide";"Pyrimidine metabolism, uracil containing";"39879";NA;NA;NA;NA;"LC/MS Pos";"1079";"325";FALSE;NA
"503";"valerylcarnitine";NA;"Lipid";"Fatty acid metabolism";"34406";"16226475, 53481619";NA;"HMDB0013128";"85095, 165624";"LC/MS Pos";"2584";"246.2";FALSE;NA
"504";"valine";"72-18-4";"Amino acid";"Valine, leucine and isoleucine metabolism";"1649";"6287, 1182";"C00183";"HMDB0000883, HMDB0034366";"16414, 57762, 27266, 27477, 87977";"LC/MS Pos";"1040";"118.1";FALSE;NA
"505";"valylalanine";"27493-61-4";"Peptide";"Dipeptide";"41518";"6992637";NA;"HMDB0029120";"75008";"LC/MS Pos";"1278.5999999999999";"189.1";FALSE;NA
"506";"valylarginine";"37682-75-0";"Peptide";"Dipeptide";"42072";"4266827";NA;"HMDB0304792";NA;"LC/MS Pos";"794.2";"274.2";FALSE;NA
"507";"valylasparagine";"66170-00-1";"Peptide";"Dipeptide";"40727";"10357, 439193";"C00252";"HMDB0002923";"28189";"LC/MS Neg";"1334";"230.2";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"508";"valylaspartate";"20556-16-5";"Peptide";"Dipeptide";"40650";"7009608";NA;"HMDB0029123";"75009";"LC/MS Pos";"1073.3";"233.1";FALSE;NA
"509";"valylglutamate";"3062-07-5";"Peptide";"Dipeptide";"32454";"7009623";NA;"HMDB0029126";"75011";"LC/MS Pos";"1346";"247.1";FALSE;NA
"510";"valylglutamine";"42854-54-6";"Peptide";"Dipeptide";"42079";"7016044";NA;"HMDB0029125";"75010";"LC/MS Pos";"1102";"246.2";FALSE;NA
"511";"valylglycine";"686-43-1";"Peptide";"Dipeptide";"40475";"136487";NA;"HMDB0259740";NA;"LC/MS Pos";"1330";"175.1";FALSE;NA
"512";"2-hydroxyhippurate (salicylurate)";"487-54-7";"Xenobiotics";"Benzoate metabolism";"18281";"10253";"C07588";"HMDB0000840";"9008";"LC/MS Neg";"2252";"194.1";FALSE;NA
"513";"valylhistidine";"13589-07-6";"Peptide";"Dipeptide";"40680";"7408624";NA;"HMDB0029129";"73700";"LC/MS Neg";"1629.1";"253.2";FALSE;NA
"514";"valylisoleucine";"20556-14-3";"Peptide";"Dipeptide";"40050";"7010531";NA;"HMDB0029130";"75012";"LC/MS Pos";"2365";"231.2";FALSE;NA
"515";"valylleucine";NA;"Peptide";"Dipeptide";"39994";"352039";NA;NA;NA;"LC/MS Pos";"2503.3000000000002";"231.2";FALSE;NA
"516";"valyllysine";"22677-62-9";"Peptide";"Dipeptide";"41384";"168058";NA;"HMDB0029132";"75014";"LC/MS Neg";"1601.8";"244.2";FALSE;NA
"517";"valylmethionine";"14486-09-0";"Peptide";"Dipeptide";"40674";"6993038";NA;"HMDB0029133";"75015";"LC/MS Pos";"2000";"249.1";FALSE;NA
"518";"valylphenylalanine";"3918-92-1";"Peptide";"Dipeptide";"40688";"6993119";NA;"HMDB0029134";"75016";"LC/MS Pos";"2790";"265.2";FALSE;NA
"519";"valylserine";"15388-94-8";"Peptide";"Dipeptide";"40716";"139506";NA;NA;NA;"LC/MS Neg";"1332";"203.2";FALSE;NA
"520";"valyltryptophan";"24587-37-9";"Peptide";"Dipeptide";"40649";"168182";NA;"HMDB0029138";NA;"LC/MS Pos";"2830";"304.2";FALSE;NA
"521";"valyltyrosine";"3061-91-4";"Peptide";"Dipeptide";"40697";"7009554";NA;"HMDB0029139";"73703";"LC/MS Pos";"2000";"281.2";FALSE;NA
"522";"valylvaline";"3918-94-3";"Peptide";"Dipeptide";"40728";"107475";NA;"HMDB0029140";"73704";"LC/MS Pos";"1842";"217.2";FALSE;NA
"523";"2-hydroxyisobutyrate";"594-61-6";"Xenobiotics";"Chemical";"22030";"11671, 4277439";NA;"HMDB0000729, HMDB0242161";"50129, 19641";"GC/MS";"1107.5";"130.9";FALSE;NA
"524";"vanillylmandelate (VMA)";"55-10-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"1567";"736172, 1245, 23615482";"C05584";"HMDB0000291, HMDB0133489, HMDB0304531";"1127735, 20106, 27622";"GC/MS";"1806.8";"297.10000000000002";FALSE;NA
"525";"venlafaxine";"93413-69-5";"Xenobiotics";"Drug";"38623";"5656";"C07187";"HMDB0005016";"9943";"LC/MS Pos";"3700";"278.2";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"526";"xanthine";"69-89-6";"Nucleotide";"Purine metabolism, (hypo)xanthine/inosine containing";"3147";"1188";"C00385";"HMDB0000292";"17712";"LC/MS Pos";"1430";"153.1";FALSE;NA
"527";"xanthosine";"146-80-5";"Nucleotide";"Purine metabolism, (hypo)xanthine/inosine containing";"15136";"64959";"C01762";"HMDB0000299";"18107";"LC/MS Pos";"1785";"285";FALSE;NA
"528";"xylitol";"87-99-0";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"41319";"6912, 94154";"C00379, C01904";"HMDB0000568, HMDB0002917, HMDB0242149";"17151, 1305691, 18333";"GC/MS";"1677.6";"217";TRUE;"keeping_only_compatible_for_partially_compatible_features"
