"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl"
"362";"octanoylcarnitine";"3671-77-0";"Lipid";"Carnitine metabolism";"33936";"LC/MS Pos";"4100";"288.3";"123701";NA;NA;"CHEBI:73039";FALSE;NA
"363";"oleate (18:1n9)";"112-80-1";"Lipid";"Long chain fatty acid";"1359";"GC/MS";"1984.4";"339.2";"42607286, 445639, 5460221";"C00712";"HMDB0000207, HMDB0002066";"CHEBI:16196, CHEBI:30823";FALSE;NA
"364";"oleoylcarnitine";NA;"Lipid";"Carnitine metabolism";"35160";"LC/MS Pos";"5202";"426.4";"46907933";NA;"HMDB0005065, HMDB0062772";"CHEBI:84651";FALSE;NA
"365";"ophthalmate";"495-27-2";"Amino acid";"Glutathione metabolism";"34592";"LC/MS Neg";"920";"288.10000000000002";"7018721";NA;"HMDB0005765";"CHEBI:84058";FALSE;NA
"366";"ornithine";"3184-13-2";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1493";"GC/MS";"1763.8";"141.9";"59565831, 6262, 6992088, 71082";"C00077, C00515";"HMDB0000214, HMDB0000818, HMDB0003374, HMDB0004984";"CHEBI:15729, CHEBI:16176, CHEBI:46911, CHEBI:57668";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"367";"p-acetamidophenylglucuronide";"120595-80-4";"Xenobiotics";"Drug";"33423";"LC/MS Neg";"1377";"326.1";"4022661, 83944";NA;"HMDB0010316, HMDB0247905";"CHEBI:132962, CHEBI:32636";TRUE;"completely_incompatible_manual_with_cas"
"368";"2-aminoadipate";"542-32-5, 1118-90-7";"Amino acid";"Lysine metabolism";"6146";"GC/MS";"1686.5";"260.10000000000002";"469, 5460399, 92136";"C00956";"HMDB0000510, HMDB0302754";"CHEBI:17082, CHEBI:37023, CHEBI:37024, CHEBI:58672";FALSE;NA
"369";"p-cresol sulfate";"3233-57-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"36103";"LC/MS Neg";"2896";"187.1";"2879";"C01468";"HMDB0001858, HMDB0013762";"CHEBI:17847";FALSE;NA
"370";"palmitate (16:0)";"57-10-3";"Lipid";"Long chain fatty acid";"1336";"LC/MS Neg";"5619";"255.3";"504166, 985";"C00249";"HMDB0000220, HMDB0060083";"CHEBI:15756, CHEBI:7896";FALSE;NA
"371";"palmitoleate (16:1n7)";"373-49-9";"Lipid";"Long chain fatty acid";"33447";"LC/MS Neg";"5477";"253.3";"445638, 5282745";"C08362";"HMDB0003229, HMDB0012328, HMDB0060082";"CHEBI:28716, CHEBI:32372, CHEBI:59265";FALSE;NA
"372";"palmitoyl sphingomyelin";NA;"Lipid";"Sphingolipid";"37506";"GC/MS";"2524";"311.3";"9939941";NA;"HMDB0010169, HMDB0012098, HMDB0061712";"CHEBI:78646";FALSE;NA
"373";"palmitoylcarnitine";"6865-14-1";"Lipid";"Carnitine metabolism";"22189";"LC/MS Pos";"5179";"400.4";"461";NA;"HMDB0240783";"CHEBI:73067";FALSE;NA
"374";"pantothenate";"137-08-6";"Cofactors and vitamins";"Pantothenate and CoA metabolism";"1508";"LC/MS Pos";"2218";"220.1";"167945, 6613, 988";"C00864";"HMDB0000210, HMDB0062717, HMDB0250782";"CHEBI:29032, CHEBI:46905, CHEBI:7916";FALSE;NA
"375";"paroxetine";"110429-49-8";"Xenobiotics";"Drug";"40461";"LC/MS Pos";"4222";"330.2";"43815";"C07415";"HMDB0014853";"CHEBI:7936";FALSE;NA
"376";"pelargonate (9:0)";"112-05-0";"Lipid";"Medium chain fatty acid";"12035";"LC/MS Neg";"4847";"157.19999999999999";"8158";"C01601";"HMDB0000847";"CHEBI:29019, CHEBI:32361";FALSE;NA
"377";"penicillin G";"69-57-8";"Xenobiotics";"Drug";"37468";"LC/MS Pos";"3314";"335.2";"5904";"C05551";"HMDB0015186";"CHEBI:18208, CHEBI:51354";FALSE;NA
"378";"pentadecanoate (15:0)";"1002-84-2";"Lipid";"Long chain fatty acid";"1361";"GC/MS";"1853.5";"299.2";"13849";"C16537";"HMDB0000826";"CHEBI:42504, CHEBI:78795";FALSE;NA
"379";"2-aminobutyrate";"1492-24-6";"Amino acid";"Butanoate metabolism";"1577";"GC/MS";"1215.7";"130";"439691";"C02261";"HMDB0000650";"CHEBI:28797";FALSE;NA
"380";"phenol red";"143-74-8";"Xenobiotics";"Chemical";"36817";"LC/MS Neg";"3650";"353.1";"4766";"C12600";NA;"CHEBI:31991";TRUE;"completely_incompatible_manual_with_cas"
"381";"phenol sulfate";"937-34-8";"Amino acid";"Phenylalanine & tyrosine metabolism";"32553";"LC/MS Neg";"2150";"173.1";"74426";"C02180";"HMDB0060015";"CHEBI:27905";FALSE;NA
"382";"phenylacetylglutamine";"28047-15-6";"Amino acid";"Phenylalanine & tyrosine metabolism";"35126";"LC/MS Pos";"2868";"265.2";"306137, 92258";"C04148, C05597";"HMDB0006344, HMDB0062645";"CHEBI:17884, CHEBI:58310, CHEBI:8087";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"383";"phenylalanine";"63-91-2";"Amino acid";"Phenylalanine & tyrosine metabolism";"64";"LC/MS Pos";"2056";"166.1";"6140";"C00079";"HMDB0000159, HMDB0000612";"CHEBI:17295, CHEBI:58095";FALSE;NA
"384";"phenylalanylalanine";"3918-87-4";"Peptide";"Dipeptide";"41374";"LC/MS Pos";"2047.6";"237.1";"5488196";NA;"HMDB0028988";"CHEBI:73630";FALSE;NA
"385";"phenylalanylarginine";"1238-09-1";"Peptide";"Dipeptide";"41487";"LC/MS Pos";"1553";"322.2";"10268029";NA;"HMDB0028989";"CHEBI:133147, CHEBI:73632";FALSE;NA
"386";"phenylalanylaspartate";"22828-05-3";"Peptide";"Dipeptide";"41419";"LC/MS Pos";"1901";"281.10000000000002";"6992643";NA;"HMDB0028991";"CHEBI:73631";FALSE;NA
"387";"phenylalanylglutamate";"3617-45-6";"Peptide";"Dipeptide";"41432";"LC/MS Pos";"2005";"295.2";"151134";NA;"HMDB0028994";"CHEBI:74712";FALSE;NA
"388";"phenylalanylglycine";"721-90-4";"Peptide";"Dipeptide";"41370";"LC/MS Neg";"2460.8000000000002";"221.1";"98207";NA;"HMDB0304788";NA;FALSE;NA
"389";"phenylalanylleucine";"3303-55-7";"Peptide";"Dipeptide";"40192";"LC/MS Pos";"3252";"279.2";"4078229";NA;"HMDB0253025";NA;FALSE;NA
"390";"2-arachidonoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35256";"LC/MS Pos";"5524";"544.29999999999995";NA;NA;NA;NA;FALSE;NA
"391";"phenylalanylmethionine";"15080-84-9";"Peptide";"Dipeptide";"41436";"LC/MS Pos";"2772";"297.2";"7010505";NA;"HMDB0029001";"CHEBI:190709, CHEBI:74719";FALSE;NA
"392";"phenylalanylphenylalanine";"2577-40-4";"Peptide";"Dipeptide";"38150";"LC/MS Pos";"3317";"313.2";"6993089";NA;"HMDB0013302";"CHEBI:191205, CHEBI:72723";FALSE;NA
"393";"phenylalanylproline";"7669-65-0";"Peptide";"Dipeptide";"41392";"LC/MS Neg";"3170";"261.2";"7020641";NA;"HMDB0011177";"CHEBI:74750";FALSE;NA
"394";"phenylalanylserine";"16053-39-7";"Peptide";"Dipeptide";"40016";"LC/MS Pos";"1808";"253.1";"193508";NA;"HMDB0029004";"CHEBI:71032";FALSE;NA
"395";"phenylalanyltryptophan";"24587-41-5";"Peptide";"Dipeptide";"41377";"LC/MS Pos";"3349";"352.2";"134906";NA;"HMDB0029006";"CHEBI:74751";FALSE;NA
"396";"phenylalanyltyrosine";"17355-18-9";"Peptide";"Dipeptide";"41527";"LC/MS Pos";"2630";"329.2";"13341191";NA;"HMDB0029007";"CHEBI:73637";FALSE;NA
"397";"phenylalanylvaline";"3918-90-9";"Peptide";"Dipeptide";"41393";"LC/MS Pos";"2570";"265.10000000000002";"7359121";NA;"HMDB0029008";"CHEBI:73638";FALSE;NA
"398";"phosphate";"7664-38-2";"Energy";"Oxidative phosphorylation";"11438";"GC/MS";"1307.7";"298.89999999999998";"1003, 1004, 1061, 3681305";"C00009";"HMDB0000973, HMDB0001429, HMDB0002105, HMDB0002142, HMDB0005947";"CHEBI:18367, CHEBI:26078, CHEBI:39745, CHEBI:43474";FALSE;NA
"399";"phosphoenolpyruvate (PEP)";"10526-80-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"597";"GC/MS";"1595.4";"369";"1005, 3674425, 638308";"C00074";"HMDB0000263";"CHEBI:18021, CHEBI:44897, CHEBI:58702";FALSE;NA
"400";"phosphoethanolamine";"1071-23-4";"Lipid";"Glycerolipid metabolism";"1600";"LC/MS Neg";"644";"140.1";"1015";"C00346";"HMDB0000224, HMDB0012279, HMDB0060151, HMDB0060152";"CHEBI:17553, CHEBI:58190";FALSE;NA
"401";"2-arachidonoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"32815";"LC/MS Neg";"5674";"500.3";NA;NA;NA;NA;FALSE;NA
"402";"phytosphingosine";"554-62-1";"Lipid";"Sphingolipid";"1510";"LC/MS Pos";"5189";"318.39999999999998";"122121";"C12144";"HMDB0004610";"CHEBI:46961, CHEBI:64124";FALSE;NA
"403";"pipecolate";"4043-87-2";"Amino acid";"Lysine metabolism";"1444";"LC/MS Pos";"1120";"130.1";"439227, 849";"C00408";"HMDB0000070, HMDB0000716";"CHEBI:17964, CHEBI:30913, CHEBI:61185";FALSE;NA
"404";"piperine";"94-62-2";"Xenobiotics";"Food component/Plant";"33935";"LC/MS Pos";"5136";"286.2";"638024";"C03882";"HMDB0029377";"CHEBI:28821";FALSE;NA
"405";"pivaloylcarnitine";NA;"Xenobiotics";"Drug";"35432";"LC/MS Pos";"2370";"246.2";"126894";NA;"HMDB0041993";"CHEBI:165622";FALSE;NA
"406";"pregnanediol-3-glucuronide";"1852-49-9";"Lipid";"Sterol/Steroid";"40708";"LC/MS Neg";"5136.8999999999996";"495.4";"123796, 44263371";NA;"HMDB0010318";"CHEBI:88765";FALSE;NA
"407";"pregnen-diol disulfate*";NA;"Lipid";"Sterol/Steroid";"32562";"LC/MS Neg";"3886";"238.3";"101541, 219833";"C05484";"HMDB0004025, HMDB0005943";"CHEBI:8387";FALSE;NA
"408";"pro-hydroxy-pro";"18684-24-7";"Peptide";"Dipeptide";"35127";"LC/MS Pos";"960";"229.2";"11902892";NA;"HMDB0006695, HMDB0029018";"CHEBI:74767";FALSE;NA
"409";"proline";"147-85-3";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1898";"LC/MS Pos";"796";"116.1";"145742";"C00148";"HMDB0000162";"CHEBI:17203, CHEBI:60039";FALSE;NA
"410";"prolylglycine";"2578-57-6";"Peptide";"Dipeptide";"40703";"LC/MS Pos";"875";"173.1";"6426709";NA;"HMDB0011178";"CHEBI:61695, CHEBI:61696";FALSE;NA
"411";"prolylmethionine";"52899-08-8";"None";"None";"41386";"LC/MS Pos";"1736.8";"247.1";"5233577, 5250073";NA;"HMDB0029023";NA;TRUE;"completely_incompatible_manual_with_cas"
"412";"2-docosahexaenoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35883";"LC/MS Pos";"5507";"568.29999999999995";NA;NA;NA;NA;FALSE;NA
"413";"propionylcarnitine";"17298-37-2";"Lipid";"Fatty acid metabolism (also BCAA metabolism)";"32452";"LC/MS Pos";"1589";"218.2";"107738, 188824";"C03017";"HMDB0000824, HMDB0062514";"CHEBI:28867, CHEBI:53210";FALSE;NA
"414";"prostaglandin A2";"13345-50-1";"Lipid";"Eicosanoid";"19761";"LC/MS Neg";"4875";"333.3";"40488287, 5280880, 5283092";"C05953";"HMDB0002752, HMDB0062524";"CHEBI:133370, CHEBI:184988, CHEBI:27820";FALSE;NA
"415";"prostaglandin E2";"363-24-6";"Lipid";"Eicosanoid";"7746";"LC/MS Neg";"4562";"351.3";"11865423, 5280360, 5283031";"C00584";"HMDB0001220";"CHEBI:15551, CHEBI:606564";FALSE;NA
"416";"pseudouridine";"1445-07-4";"Nucleotide";"Pyrimidine metabolism, uracil containing";"33442";"LC/MS Neg";"1104";"243.1";"15047";"C02067";"HMDB0000767, HMDB0006075";"CHEBI:17802";FALSE;NA
"417";"putrescine";"110-60-1";"Amino acid";"Polyamine metabolism";"1408";"GC/MS";"1705.8";"174";"1045";"C00134";"HMDB0001414, HMDB0060243";"CHEBI:17148, CHEBI:326268";FALSE;NA
"418";"pyridoxal";"65-22-5";"Cofactors and vitamins";"Pyridoxal metabolism";"1651";"LC/MS Pos";"1210";"168.1";"1050";"C00250";"HMDB0001545";"CHEBI:17310";FALSE;NA
"419";"pyridoxate";"82-82-6";"Cofactors and vitamins";"Vitamin B6 metabolism";"31555";"LC/MS Neg";"2210";"182.1";"6723";"C00847";"HMDB0000017";"CHEBI:17405, CHEBI:30959";FALSE;NA
"420";"pyroglutamine*";NA;"Amino acid";"Glutamate metabolism";"32672";"LC/MS Pos";"764";"129.19999999999999";"134508";NA;"HMDB0242134";"CHEBI:133469";FALSE;NA
"421";"pyrophosphate (PPi)";"1466-09-3";"Energy";"Oxidative phosphorylation";"2078";"GC/MS";"1642.3";"451";"1023, 4097574, 4995, 644102";"C00013";"HMDB0000250, HMDB0304340";"CHEBI:18361, CHEBI:29888, CHEBI:33019, CHEBI:45212";FALSE;NA
"422";"quebrachitol";"642-38-6";"Xenobiotics";"Food component/Plant";"37088";"GC/MS";"1797";"217";NA;"C08257";"HMDB0034221";"CHEBI:111";FALSE;NA
"423";"2-docosahexaenoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"34258";"LC/MS Pos";"5512";"526.20000000000005";NA;NA;NA;NA;FALSE;NA
"424";"quinate";"77-95-2";"Xenobiotics";"Food component/Plant";"18335";"GC/MS";"1793";"345.1";"6508";"C00296";"HMDB0003072";"CHEBI:17521, CHEBI:29751";FALSE;NA
"425";"quinidine";"56-54-2";"Xenobiotics";"Drug";"39766";"LC/MS Pos";"2712.6";"325.3";"441074";"C06527";"HMDB0015044";"CHEBI:28593";FALSE;NA
"426";"quinolinate";"89-00-9";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"1899";"GC/MS";"1697.7";"296.10000000000002";"1066, 165390";"C03460, C03722";"HMDB0000232, HMDB0001011";"CHEBI:16675, CHEBI:27754";FALSE;NA
"427";"ranitidine";"66357-59-3";"Xenobiotics";"Drug";"38595";"LC/MS Pos";"1967";"315.10000000000002";"3001055";NA;"HMDB0001930, HMDB0005003";"CHEBI:8776";FALSE;NA
"428";"ribitol";"488-81-3";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15772";"GC/MS";"1692.4";"217";NA;"C00474";"HMDB0000508";"CHEBI:15963";FALSE;NA
"429";"riboflavin (Vitamin B2)";"83-88-5";"Cofactors and vitamins";"Riboflavin metabolism";"1827";"LC/MS Pos";"3111";"377.2";"493570";"C00255";"HMDB0000244";"CHEBI:17015, CHEBI:57986";FALSE;NA
"430";"ribose";"50-69-1";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"12080";"GC/MS";"1639.2";"204";"5779";"C00121";"HMDB0000283, HMDB0012194";"CHEBI:47013";FALSE;NA
"431";"ribulose";"488-84-6";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"35855";"GC/MS";"1662";"306.10000000000002";"12358756, 9920423";"C00309, C00508";"HMDB0000621, HMDB0003371";"CHEBI:16880, CHEBI:17173";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"432";"saccharopine";"997-68-2";"Amino acid";"Lysine metabolism";"1495";"GC/MS";"2082.1";"357.2";"160556";"C00449";"HMDB0000279, HMDB0062698";"CHEBI:16927, CHEBI:57951";FALSE;NA
"433";"salicylate";"69-72-7";"Xenobiotics";"Drug";"1515";"LC/MS Neg";"2226";"137.1";"338";"C00805";"HMDB0001895, HMDB0015470, HMDB0302214";"CHEBI:16914, CHEBI:30762";FALSE;NA
"434";"2-docosapentaenoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"37366";"LC/MS Pos";"5532";"570.29999999999995";NA;NA;NA;NA;FALSE;NA
"435";"sarcosine (N-Methylglycine)";"107-97-1";"Amino acid";"Glycine, serine and threonine metabolism";"1516";"GC/MS";"1182.9000000000001";"116";"1088";"C00213";"HMDB0000271";"CHEBI:15611, CHEBI:57433";FALSE;NA
"436";"scyllo-inositol";"488-59-5";"Lipid";"Inositol metabolism";"32379";"GC/MS";"1893.8";"318.2";NA;"C06153";"HMDB0000160, HMDB0006088";"CHEBI:10642";FALSE;NA
"437";"sedoheptulose-7-phosphate";"2646-35-7";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"35649";"GC/MS";"2070";"691.35";"165007, 616, 92042786";"C05382";"HMDB0001068, HMDB0062754, HMDB0258206";"CHEBI:133983, CHEBI:15721, CHEBI:57483";FALSE;NA
"438";"serine";"56-45-1";"Amino acid";"Glycine, serine and threonine metabolism";"1648";"GC/MS";"1389.1";"204";"5951, 617, 71077";"C00065, C00716, C00740";"HMDB0000187, HMDB0000589, HMDB0003406, HMDB0062263";"CHEBI:16523, CHEBI:17115, CHEBI:17822, CHEBI:33384, CHEBI:35247";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"439";"serylisoleucine*";NA;"Peptide";"Dipeptide";"40193";"LC/MS Pos";"2021";"219.2";NA;NA;NA;NA;FALSE;NA
"440";"serylleucine";"6665-16-3";"Peptide";"Dipeptide";"40066";"LC/MS Pos";"2106";"219.2";"7015694";NA;"HMDB0029043, HMDB0094712";"CHEBI:74815";FALSE;NA
"441";"serylphenyalanine";NA;"Peptide";"Dipeptide";"40054";"LC/MS Pos";"2348";"253.2";NA;NA;NA;NA;FALSE;NA
"442";"serylvaline";"51782-06-0";"Peptide";"Dipeptide";"42058";"LC/MS Pos";"1501";"205.1";"7020158";NA;"HMDB0029052, HMDB0094706";"CHEBI:74823";FALSE;NA
"443";"sorbitol";"6706-59-8";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15053";"GC/MS";"1843";"319.10000000000002";"5780";"C00794";"HMDB0000247";"CHEBI:17924";FALSE;NA
"444";"sorbitol 6-phosphate";"108392-12-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15699";"LC/MS Neg";"613";"261.1";"152306, 618";"C01096, C02810";"HMDB0005831";"CHEBI:17044, CHEBI:60084, CHEBI:743019";TRUE;"completely_incompatible_manual_with_cas"
"445";"1-arachidonoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"35186";"LC/MS Neg";"5731";"500.3";"42607465";NA;"HMDB0011517";"CHEBI:64395";FALSE;NA
"446";"2-docosapentaenoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"34875";"LC/MS Pos";"5548";"528.20000000000005";NA;NA;NA;NA;FALSE;NA
"447";"spermidine";"124-20-9";"Amino acid";"Polyamine metabolism";"485";"LC/MS Pos";"533";"146.19999999999999";"1102";"C00315";"HMDB0001257";"CHEBI:16610, CHEBI:57834";FALSE;NA
"448";"spermine";"71-44-3";"Amino acid";"Polyamine metabolism";"603";"LC/MS Pos";"506";"203.2";"1103";"C00750";"HMDB0001256";"CHEBI:15746, CHEBI:45725";FALSE;NA
"449";"sphinganine";"3102-56-5";"Lipid";"Sphingolipid";"17769";"LC/MS Pos";"5175";"302.3";"46878428, 91486";"C00836";"HMDB0000269";"CHEBI:16566, CHEBI:57817";FALSE;NA
"450";"sphingosine";"123-78-4";"Lipid";"Sphingolipid";"17747";"LC/MS Pos";"5197";"300.2";"46878424, 5280335";"C00319";"HMDB0000252, HMDB0062807";"CHEBI:16393, CHEBI:57756";FALSE;NA
"451";"squalene";"111-02-4";"Lipid";"Sterol/Steroid";"1518";"GC/MS";"2205";"69";"5280370, 638072";"C00751";"HMDB0000256";"CHEBI:15440";FALSE;NA
"452";"stachydrine";"4136-37-2";"Xenobiotics";"Food component/Plant";"34384";"LC/MS Pos";"860";"144.1";"115244";"C10172";"HMDB0004827";"CHEBI:35280";FALSE;NA
"453";"stearate (18:0)";"57-11-4";"Lipid";"Long chain fatty acid";"1358";"LC/MS Neg";"5886";"283.39999999999998";"5281";"C01530";"HMDB0000827";"CHEBI:25629, CHEBI:28842";FALSE;NA
"454";"stearidonate (18:4n3)";"111174-40-4";"Lipid";"Long chain fatty acid";"33969";"LC/MS Neg";"5381";"275.3";"5282837, 5312508";"C16300";"HMDB0006547";"CHEBI:32389, CHEBI:77222";FALSE;NA
"455";"stearoylcarnitine";"18822-91-8";"Lipid";"Carnitine metabolism";"34409";"LC/MS Pos";"5300";"428.4";"52922056, 6426855";NA;"HMDB0000848, HMDB0062532";"CHEBI:73074, CHEBI:84644";FALSE;NA
"456";"streptomycin";"3810-74-0";"Xenobiotics";"Drug";"39872";"LC/MS Pos";"543.29999999999995";"300.8";"19648";NA;NA;NA;FALSE;NA
"457";"2-eicosatrienoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35884";"LC/MS Pos";"5565";"546.29999999999995";NA;NA;NA;NA;FALSE;NA
"458";"succinate";"110-15-6";"Energy";"Krebs cycle";"1437";"GC/MS";"1348";"247";"1110, 160419";"C00042";"HMDB0000254";"CHEBI:15741, CHEBI:30031";FALSE;NA
"459";"succinylcarnitine";NA;"Energy";"Krebs cycle";"37058";"LC/MS Pos";"1401";"262.10000000000002";NA;NA;NA;NA;FALSE;NA
"460";"tartarate";"87-69-4, 6106-24-7";"Xenobiotics";"Food component/Plant";"15336";"GC/MS";"1626.1";"292.10000000000002";"444305, 875";"C00898";"HMDB0000956, HMDB0059916, HMDB0062642";"CHEBI:15671, CHEBI:15674, CHEBI:30924, CHEBI:30929";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"461";"taurine";"107-35-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"2125";"GC/MS";"1616.4";"254.1";"1123";"C00245";"HMDB0000251";"CHEBI:15891, CHEBI:507393";FALSE;NA
"462";"testosterone";NA;"Lipid";"Sterol/Steroid";"19464";"LC/MS Pos";"5119";"289.2";"10204, 6013";"C00535";"HMDB0000234, HMDB0000628";"CHEBI:17347, CHEBI:42534";FALSE;NA
"463";"theobromine";"83-67-0";"Xenobiotics";"Xanthine metabolism";"18392";"LC/MS Pos";"2136";"181.1";"5429";"C07480";"HMDB0002825";"CHEBI:28946";FALSE;NA
"464";"threitol";"2418-52-2";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"35854";"GC/MS";"1513";"217.1";"169019";"C16884";"HMDB0004136";"CHEBI:48300";FALSE;NA
"465";"threonate";"70753-61-6";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"27738";"GC/MS";"1560.7";"292.10000000000002";"21145021, 439535, 5460407";"C01620";"HMDB0000943, HMDB0062620, HMDB0245425";"CHEBI:15908, CHEBI:49060, CHEBI:57561";FALSE;NA
"466";"threonine";"72-19-5";"Amino acid";"Glycine, serine and threonine metabolism";"1284";"GC/MS";"1412.3";"218.1";"6288";"C00188";"HMDB0000167";"CHEBI:16857, CHEBI:57926";FALSE;NA
"467";"threonylglutamate";"54532-73-9";"Peptide";"Dipeptide";"42067";"LC/MS Pos";"819";"249.2";"7020163";NA;"HMDB0029060";"CHEBI:74857";FALSE;NA
"468";"2-ethylhexanoate";"149-57-5";"Xenobiotics";"Chemical";"1554";"GC/MS";"1210.5";"201.2";"8697";NA;"HMDB0031230, HMDB0062546";"CHEBI:89058";FALSE;NA
"469";"threonylleucine";"50299-12-2";"Peptide";"Dipeptide";"40051";"LC/MS Pos";"2204";"233.2";"7021827";NA;"HMDB0029065";"CHEBI:74860";FALSE;NA
"470";"threonylmethionine";"90729-28-5";"Peptide";"Dipeptide";"42068";"LC/MS Pos";"1641";"251.1";"7020164";NA;"HMDB0029067";"CHEBI:74861";FALSE;NA
"471";"threonylphenylalanine";NA;"Peptide";"Dipeptide";"31530";"LC/MS Pos";"2500";"267.2";"4099798, 4099799";NA;NA;NA;TRUE;"completely_incompatible_manual_no_cas"
"472";"threonylvaline";"99032-17-4";"Peptide";"Dipeptide";"42011";"LC/MS Pos";"1574.5";"219.2";"7020901";NA;"HMDB0029074";"CHEBI:90328";FALSE;NA
"473";"thymidine";"50-89-5";"Nucleotide";"Pyrimidine metabolism, thymine containing";"39539";"LC/MS Neg";"1935";"284.8";"5789";"C00214";"HMDB0000273";"CHEBI:17748";FALSE;NA
"474";"thymine";"65-71-4";"Nucleotide";"Pyrimidine metabolism, thymine containing";"604";"GC/MS";"1429.1";"255";"1135";"C00178";"HMDB0000262";"CHEBI:17821";FALSE;NA
"475";"trans-4-hydroxyproline";"51-35-4";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1366";"GC/MS";"1537";"140";"5810, 69248";"C01157";"HMDB0000725, HMDB0006055, HMDB0036576";"CHEBI:18095, CHEBI:18240, CHEBI:58375, CHEBI:58419";FALSE;NA
"476";"trans-urocanate";"104-98-3";"Amino acid";"Histidine metabolism";"607";"LC/MS Pos";"1119";"139.1";"736715";"C00785";"HMDB0000301, HMDB0002280, HMDB0034174";"CHEBI:17771, CHEBI:30817";FALSE;NA
"477";"triethyleneglycol";"112-27-6";"Xenobiotics";"Chemical";"27743";"LC/MS Pos";"1824";"168.1";NA;NA;NA;NA;FALSE;NA
"478";"trigonelline (N'-methylnicotinate)";"6138-41-6";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"32401";"LC/MS Pos";"757";"138.1";"5570";"C01004";"HMDB0000875";"CHEBI:18123";FALSE;NA
"479";"2-hydroxyacetaminophen sulfate*";NA;"Xenobiotics";"Drug";"33173";"LC/MS Neg";"1703";"246.1";NA;NA;NA;NA;FALSE;NA
"480";"tryptophan";"73-22-3";"Amino acid";"Tryptophan metabolism";"54";"LC/MS Pos";"2445";"205.1";"6305";"C00078";"HMDB0000929";"CHEBI:16828, CHEBI:57912";FALSE;NA
"481";"tryptophan betaine";"20671-76-5";"Amino acid";"Tryptophan metabolism";"37097";"LC/MS Pos";"2464";"247.1";"442106";"C09213";"HMDB0061115";"CHEBI:5832";FALSE;NA
"482";"tryptophylasparagine";"175027-11-9";"Peptide";"Dipeptide";"40661";"LC/MS Pos";"1963";"319.2";NA;NA;NA;NA;FALSE;NA
"483";"tryptophylglutamate";"36099-95-3";"Peptide";"Dipeptide";"41401";"LC/MS Pos";"2246";"334.2";"3634442";NA;"HMDB0029082";NA;FALSE;NA
"484";"tryptophylleucine";"13123-35-8";"Peptide";"Dipeptide";"40080";"LC/MS Pos";"3369";"318.2";"323786";NA;"HMDB0029087";NA;FALSE;NA
"485";"tyrosine";"60-18-4";"Amino acid";"Phenylalanine & tyrosine metabolism";"1299";"LC/MS Pos";"1516";"182.1";"6057";"C00082";"HMDB0000158, HMDB0000647";"CHEBI:17895, CHEBI:58315";FALSE;NA
"486";"tyrosylalanine";"730-08-5";"Peptide";"Dipeptide";"40018";"LC/MS Pos";"1589.5";"253.2";"7020632";NA;NA;NA;TRUE;"completely_incompatible_manual_with_cas"
"487";"tyrosylglutamine";"28252-40-6";"Peptide";"Dipeptide";"41459";"LC/MS Pos";"1437";"310.2";NA;NA;NA;NA;FALSE;NA
"488";"tyrosylglycine";"673-05-5";"Peptide";"Dipeptide";"41375";"LC/MS Pos";"1596.8";"239.1";"259323";NA;"HMDB0259337";NA;FALSE;NA
"489";"tyrosylhistidine";"3788-44-1";"Peptide";"Dipeptide";"41464";"LC/MS Pos";"903";"319.2";NA;NA;NA;NA;FALSE;NA
