"";"ID";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"n_Metabolites_in_pathway";"all_metabolites_in_pathway";"n_detected_metabolites_in_pathway";"detected_metabolites_in_pathway";"percentage_detected_metabolites_of_pathway";"ORA_Metabolites_in_pathway";"ORA_metabolites_count";"ORA_percentage_of_Pathway_detected"
"386";"Secondary bile acid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;36;"C00695, C01921, C02528, C03990, C04483, C05122, C05337, C05465, C05466, C07880, C15515, C15517, C17644, C17646, C17647, C17649, C17650, C17651, C17654, C17657, C17658, C17660, C17662, C17664, C17667, C17668, C17687, C17689, C17726, C17727, C17737, C20865, C20866, C20867, C20868, C21449";1;"C00695";2,78;NA;0;0
"387";"Selenocompound metabolism";NA;NA;NA;NA;NA;NA;NA;NA;27;"C00017, C00041, C01528, C02535, C05172, C05335, C05336, C05684, C05686, C05688, C05689, C05690, C05695, C05697, C05698, C05699, C05703, C06481, C06482, C16638, C18870, C18871, C18872, C18893, C18902, C18904, C18905";1;"C00041";3,7;NA;0;0
"388";"Serotonergic synapse";"1/37";"4/259";0,25;1,75;0,61596409368232;0,462325444045142;0,671321877654589;0,56665699702721;39;"C00078, C00165, C00219, C00427, C00575, C00584, C00639, C00643, C00696, C00780, C00909, C01245, C02165, C02166, C02198, C04822, C05356, C05635, C05953, C05954, C05955, C05956, C05957, C05963, C05964, C05965, C05966, C14768, C14769, C14770, C14771, C14772, C14773, C14774, C14775, C14812, C14820, C14821, C14823";4;"C00078, C00219, C00584, C05953";10,26;"C00219";1;2,56
"389";"Serotonin receptor agonists/antagonists";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00780";0;NA;0;NA;0;0
"390";"Sesquiterpenoid and triterpenoid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;89;"C00448, C00751, C01054, C01126, C01841, C01860, C02004, C03220, C03428, C03461, C06079, C06080, C06083, C06309, C06310, C06394, C07667, C08615, C08616, C08628, C08637, C09382, C09627, C09629, C09665, C09666, C09672, C09684, C09699, C09704, C09723, C09737, C12142, C16028, C16141, C16142, C16143, C16269, C16286, C16775, C16814, C16829, C17277, C17953, C17954, C17955, C18245, C19676, C19678, C19708, C19711, C19732, C19736, C19740, C19742, C19746, C19747, C19748, C19749, C19752, C19753, C19755, C19801, C19819, C19820, C19828, C19829, C19832, C19833, C19834, C19835, C19863, C19908, C19918, C19939, C19973, C19974, C20159, C20163, C20181, C20187, C20191, C20192, C20193, C20195, C20200, C20478, C20479, C20724";1;"C00751";1,12;NA;0;0
"391";"Shigellosis";NA;NA;NA;NA;NA;NA;NA;NA;12;"C00123, C00165, C00338, C00407, C01245, C04549, C04637, C04737, C05981, C11472, C11557, C20640";2;"C00123, C00407";16,67;NA;0;0
"392";"Small cell lung cancer";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00777, C05981, C15493";0;NA;0;NA;0;0
"393";"Sphingolipid metabolism";"1/37";"5/259";0,2;1,4;0,368012324340017;0,540340967850356;0,715951782401722;0,604328714043161;35;"C00065, C00154, C00195, C00319, C00346, C00550, C00836, C01120, C01190, C01290, C01747, C02686, C02934, C02960, C03108, C03272, C03405, C03640, C04730, C04737, C04884, C04911, C05681, C06062, C06124, C06125, C06126, C06127, C06128, C06135, C06136, C12126, C12144, C12145, C22467";5;"C00065, C00319, C00346, C00836, C12144";14,29;"C00065";1;2,86
"394";"Sphingolipid signaling pathway";"1/37";"5/259";0,2;1,4;0,368012324340017;0,540340967850356;0,715951782401722;0,604328714043161;14;"C00065, C00154, C00165, C00195, C00212, C00319, C00346, C00550, C00836, C01245, C05981, C06124, C12126, C16845";5;"C00065, C00212, C00319, C00346, C00836";35,71;"C00065";1;7,14
"395";"Spinocerebellar ataxia";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00025, C00165, C01245, C04549";1;"C00025";25;NA;0;0
"396";"Staphylococcus aureus infection";NA;NA;NA;NA;NA;NA;NA;NA;2;"C11596, C20898";0;NA;0;NA;0;0
"397";"Starch and sucrose metabolism";"2/37";"7/259";0,285714285714286;2;1,092906420717;0,262715839238982;0,556957579186642;0,470123080743441;37;"C00029, C00031, C00085, C00089, C00092, C00095, C00103, C00185, C00208, C00252, C00369, C00372, C00394, C00498, C00501, C00663, C00689, C00718, C00721, C00760, C00963, C00965, C00973, C01083, C01231, C01725, C01898, C01935, C02591, C02995, C03323, C04534, C05731, C06215, C06400, C16688, C20237";7;"C00031, C00092, C00095, C00103, C00208, C00252, C00721";18,92;"C00208/C00721";2;5,41
"398";"Staurosporine biosynthesis";"2/37";"3/259";0,666666666666667;4,66666666666667;2,60283299182513;0,0543712915443981;0,221667573219469;0,187107683452382;48;"C00078, C00135, C00148, C02079, C07349, C12318, C12491, C18092, C19687, C19688, C19698, C19699, C19700, C19701, C20045, C20512, C20513, C20563, C20564, C20604, C20605, C20607, C20630, C21109, C21110, C21124, C21125, C21126, C21127, C21128, C21131, C21132, C21133, C21134, C21135, C21136, C21137, C22162, C22163, C22164, C22165, C22166, C22167, C22168, C22169, C22170, C22171, C22172";3;"C00078, C00135, C00148";6,25;"C00135/C00148";2;4,17
"399";"Steroid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;57;"C00187, C00448, C00751, C01054, C01164, C01189, C01561, C01673, C01694, C01724, C01753, C01789, C01802, C01902, C01943, C02141, C02530, C03428, C03845, C04525, C05103, C05107, C05108, C05109, C05437, C05439, C05440, C05441, C05442, C05443, C07712, C08813, C08821, C08830, C11455, C11508, C11522, C11523, C15776, C15777, C15780, C15781, C15782, C15783, C15808, C15816, C15915, C18231, C21106, C22112, C22116, C22119, C22120, C22121, C22122, C22123, C22136";2;"C00187, C00751";3,51;NA;0;0
"400";"Steroid degradation";NA;NA;NA;NA;NA;NA;NA;NA;48;"C00022, C00024, C00091, C00100, C00187, C00280, C00479, C00535, C00599, C00674, C01227, C04793, C04844, C06762, C07635, C11354, C14909, C19944, C20144, C20199, C20252, C20838, C20839, C20840, C21076, C23003, C23004, C23005, C23006, C23007, C23009, C23010, C23011, C23012, C23013, C23014, C23015, C23016, C23017, C23018, C23019, C23020, C23021, C23022, C23023, C23024, C23025, C23026";2;"C00187, C00535";4,17;NA;0;0
"401";"Steroid hormone biosynthesis";"1/37";"7/259";0,142857142857143;1;0;0,664729729001305;0,791700576113914;0,668267616382152;101;"C00187, C00280, C00410, C00468, C00523, C00535, C00674, C00735, C00762, C00951, C01124, C01176, C01227, C01780, C01953, C02140, C02373, C02537, C02538, C03205, C03681, C03747, C03772, C03852, C03917, C03935, C04042, C04295, C04373, C04518, C04555, C04676, C05138, C05139, C05140, C05141, C05284, C05285, C05290, C05291, C05293, C05294, C05295, C05296, C05297, C05298, C05299, C05300, C05301, C05302, C05469, C05470, C05471, C05472, C05473, C05474, C05475, C05476, C05477, C05478, C05479, C05480, C05481, C05482, C05483, C05484, C05485, C05487, C05488, C05489, C05490, C05497, C05498, C05499, C05500, C05501, C05502, C05503, C05504, C08357, C08358, C08359, C11131, C11132, C11133, C11134, C11135, C11136, C13712, C13713, C18038, C18039, C18040, C18041, C18042, C18043, C18044, C18045, C18075, C22831, C22832";7;"C00187, C00535, C00735, C00762, C04295, C04555, C05484";6,93;"C00762";1;0,99
"402";"Stilbenoid, diarylheptanoid and gingerol biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;26;"C00223, C00323, C00406, C00540, C00852, C01745, C02947, C03582, C05901, C10287, C10434, C10443, C10462, C12208, C17740, C17741, C17742, C17743, C17744, C17745, C17746, C17747, C17748, C17749, C17750, C22988";0;NA;0;NA;0;0
"403";"Streptomycin biosynthesis";"1/37";"4/259";0,25;1,75;0,61596409368232;0,462325444045142;0,671321877654589;0,56665699702721;24;"C00031, C00092, C00103, C00137, C00413, C00688, C00691, C00842, C01121, C01138, C01214, C01221, C01283, C01294, C01298, C03319, C03442, C04006, C04280, C04673, C04767, C06592, C11351, C11907";4;"C00031, C00092, C00103, C00137";16,67;"C00137";1;4,17
"404";"Styrene degradation";NA;NA;NA;NA;NA;NA;NA;NA;24;"C00122, C00164, C00186, C00511, C00544, C00596, C00601, C00827, C00894, C01036, C01061, C01659, C01998, C02505, C05593, C05852, C07083, C07084, C07085, C07086, C07087, C16074, C16075, C20782";2;"C00122, C00186";8,33;NA;0;0
"405";"Sulfonamide derivatives - overview";NA;NA;NA;NA;NA;NA;NA;NA;1;"C07573";0;NA;0;NA;0;0
"406";"Sulfonamide derivatives - sulfa drugs";NA;NA;NA;NA;NA;NA;NA;NA;2;"C06530, C14617";0;NA;0;NA;0;0
"407";"Sulfur cycle";NA;NA;NA;NA;NA;NA;NA;NA;16;"C00053, C00059, C00073, C00087, C00094, C00097, C00224, C00283, C00320, C00511, C00580, C00894, C01013, C02084, C04022, C09306";2;"C00073, C00097";12,5;NA;0;0
"408";"Sulfur metabolism";"2/37";"7/259";0,285714285714286;2;1,092906420717;0,262715839238982;0,556957579186642;0,470123080743441;45;"C00033, C00042, C00053, C00054, C00059, C00065, C00073, C00084, C00087, C00094, C00097, C00155, C00163, C00224, C00245, C00263, C00283, C00320, C00409, C00511, C00580, C00894, C00979, C01013, C01118, C01180, C01861, C02084, C03172, C03920, C04022, C08276, C11142, C11143, C11145, C15521, C17267, C19692, C20870, C20955, C22315, C22316, C22834, C23001, C23002";7;"C00042, C00065, C00073, C00097, C00155, C00245, C00263";15,56;"C00065/C00073";2;4,44
"409";"Sulfur relay system";NA;NA;NA;NA;NA;NA;NA;NA;11;"C00019, C00041, C00044, C00097, C00378, C00868, C00979, C05924, C17322, C18237, C18239";2;"C00041, C00097";18,18;NA;0;0
"410";"Synaptic vesicle cycle";NA;NA;NA;NA;NA;NA;NA;NA;10;"C00002, C00025, C00037, C00334, C00388, C00547, C00780, C01996, C03758, C16041";4;"C00025, C00037, C00334, C00388";40;NA;0;0
"411";"Systemic lupus erythematosus";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00434, C02737";0;NA;0;NA;0;0
"412";"T cell receptor signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00165, C01245, C05981";0;NA;0;NA;0;0
"413";"Taste transduction";"2/37";"8/259";0,25;1,75;0,878018413623174;0,320146394919314;0,615272777512055;0,519346435834406;28;"C00002, C00008, C00020, C00025, C00031, C00089, C00095, C00130, C00133, C00144, C00149, C00158, C00208, C00334, C00547, C00575, C00740, C00780, C01245, C01327, C01451, C01996, C02265, C06526, C11045, C12283, C12284, C19378";8;"C00020, C00025, C00031, C00095, C00149, C00158, C00208, C00334";28,57;"C00158/C00208";2;7,14
"414";"Taurine and hypotaurine metabolism";NA;NA;NA;NA;NA;NA;NA;NA;24;"C00022, C00024, C00025, C00026, C00033, C00041, C00084, C00094, C00097, C00227, C00245, C00506, C00519, C00593, C00606, C01678, C01959, C03149, C05122, C05123, C05844, C06735, C14179, C19685";5;"C00025, C00041, C00097, C00245, C00519";20,83;NA;0;0
"415";"Teichoic acid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;12;"C00043, C00114, C00133, C00307, C00344, C00513, C00588, C00641, C00789, C04574, C04613, C17556";0;NA;0;NA;0;0
"416";"Terpenoid backbone biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;47;"C00022, C00024, C00118, C00129, C00235, C00332, C00341, C00353, C00356, C00418, C00448, C01107, C01126, C01143, C01230, C02321, C03461, C04145, C04146, C04216, C04217, C04506, C04574, C04748, C05427, C05859, C06081, C11434, C11435, C11436, C11437, C11453, C11811, C16521, C16826, C17432, C18321, C19691, C19760, C19852, C19853, C20120, C20121, C20345, C20847, C20848, C22453";0;NA;0;NA;0;0
"417";"Tetracycline biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;21;"C00083, C01209, C02811, C03206, C06570, C06571, C06624, C06627, C06628, C06629, C06654, C12441, C12442, C18293, C18294, C18295, C18296, C21391, C21430, C21438, C21439";0;NA;0;NA;0;0
"418";"TGF-beta signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;1;"C14819";0;NA;0;NA;0;0
"419";"Th1 and Th2 cell differentiation";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00165, C01245";0;NA;0;NA;0;0
"420";"Th17 cell differentiation";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00165, C00777, C01245";0;NA;0;NA;0;0
"421";"Thermogenesis";NA;NA;NA;NA;NA;NA;NA;NA;21;"C00002, C00004, C00008, C00010, C00024, C00040, C00116, C00165, C00318, C00422, C00547, C00575, C00745, C00942, C00951, C01352, C01885, C02301, C02465, C11695, C13856";3;"C00004, C00116, C00318";14,29;NA;0;0
"422";"Thiamine metabolism";"1/37";"4/259";0,25;1,75;0,61596409368232;0,462325444045142;0,671321877654589;0,56665699702721;31;"C00003, C00018, C00022, C00037, C00068, C00082, C00097, C00118, C00378, C01081, C01279, C02892, C03028, C03373, C04294, C04327, C04556, C04752, C05856, C11437, C15809, C15810, C15811, C15812, C15813, C15814, C19872, C20246, C20247, C20267, C20784";4;"C00003, C00037, C00082, C00097";12,9;"C00082";1;3,23
"423";"Thyroid hormone signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;7;"C00165, C00575, C01245, C01829, C02465, C05981, C07639";0;NA;0;NA;0;0
"424";"Thyroid hormone synthesis";NA;NA;NA;NA;NA;NA;NA;NA;15;"C00005, C00006, C00051, C00092, C00117, C00127, C00165, C00231, C00575, C00708, C01060, C01245, C01829, C02465, C02515";3;"C00051, C00092, C00127";20;NA;0;0
"425";"Toluene degradation";NA;NA;NA;NA;NA;NA;NA;NA;47;"C00091, C00156, C00180, C00230, C00261, C00512, C00556, C00587, C00633, C01455, C01467, C01468, C01542, C02236, C02923, C03067, C03351, C04112, C04558, C04559, C04592, C06677, C06678, C06679, C06730, C09816, C09817, C09818, C09819, C09820, C14582, C18300, C18301, C18302, C18303, C18304, C18305, C18306, C18307, C18308, C18309, C18310, C18311, C18312, C21166, C21167, C21168";2;"C00180, C01468";4,26;NA;0;0
"426";"Toxoplasmosis";NA;NA;NA;NA;NA;NA;NA;NA;2;"C05981, C06314";0;NA;0;NA;0;0
"427";"Tropane, piperidine and pyridine alkaloid biosynthesis";"2/37";"8/259";0,25;1,75;0,878018413623174;0,320146394919314;0,615272777512055;0,519346435834406;77;"C00047, C00079, C00083, C00134, C00166, C00253, C00407, C00408, C00450, C00729, C00745, C00783, C01004, C01416, C01456, C01479, C01672, C01746, C01851, C02046, C02066, C02621, C02723, C03239, C03325, C03882, C04076, C04092, C04170, C05607, C06176, C06177, C06178, C06179, C06180, C06181, C06182, C06183, C06184, C06185, C06366, C06521, C06524, C07475, C10126, C10157, C10171, C10173, C10763, C10772, C10773, C10783, C10850, C10858, C10860, C10865, C12440, C12448, C12449, C12450, C12452, C12453, C12454, C12455, C15612, C16257, C16671, C16697, C16933, C18158, C20371, C22421, C22430, C22466, C23036, C23039, C23054";8;"C00047, C00079, C00134, C00253, C00407, C00408, C01004, C03882";10,39;"C00079/C00407";2;2,6
"428";"Tryptophan metabolism";NA;NA;NA;NA;NA;NA;NA;NA;84;"C00024, C00078, C00108, C00322, C00328, C00331, C00332, C00398, C00463, C00527, C00632, C00637, C00643, C00780, C00877, C00954, C00955, C00978, C01111, C01144, C01249, C01252, C01598, C01717, C01987, C02161, C02172, C02220, C02298, C02470, C02693, C02700, C02775, C02937, C02938, C03227, C03230, C03453, C03574, C03722, C03824, C04409, C05634, C05635, C05636, C05637, C05638, C05639, C05640, C05641, C05642, C05643, C05644, C05645, C05646, C05647, C05648, C05651, C05652, C05653, C05654, C05655, C05656, C05658, C05659, C05660, C05663, C05830, C05831, C05832, C05834, C05835, C05837, C06212, C06213, C08313, C10164, C16516, C16517, C16518, C17203, C22006, C22202, C23064";4;"C00078, C00328, C00954, C03722";4,76;NA;0;0
"429";"Tuberculosis";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00338, C01194, C01561, C01673, C04549, C06124, C19190, C21790";0;NA;0;NA;0;0
"430";"Two-component system";"1/37";"12/259";0,0833333333333333;0,583333333333333;-0,602233808461449;0,849484959582249;0,874227239958431;0,737927660342271;47;"C00009, C00022, C00025, C00031, C00034, C00036, C00042, C00049, C00064, C00092, C00122, C00149, C00158, C00164, C00237, C00305, C00399, C00547, C00697, C00788, C00828, C01019, C01104, C01667, C02084, C05757, C05818, C06230, C06689, C06696, C11612, C11842, C11849, C12008, C13768, C14819, C16421, C16463, C16640, C16665, C18206, C21220, C21221, C21241, C21242, C21243, C21245";12;"C00009, C00025, C00031, C00042, C00049, C00064, C00092, C00122, C00149, C00158, C00788, C01019";25,53;"C00158";1;2,13
"431";"Type I polyketide structures";NA;NA;NA;NA;NA;NA;NA;NA;25;"C01375, C01457, C01848, C01912, C01946, C06573, C06690, C07909, C08073, C11300, C11984, C11996, C11999, C12045, C12102, C12148, C12151, C12152, C12153, C12155, C12157, C21275, C21276, C21277, C21278";0;NA;0;NA;0;0
"432";"Type II diabetes mellitus";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00002, C00022, C00031";1;"C00031";33,33;NA;0;0
"433";"Tyrosine metabolism";"2/37";"7/259";0,285714285714286;2;1,092906420717;0,262715839238982;0,556957579186642;0,470123080743441;79;"C00022, C00042, C00082, C00122, C00146, C00164, C00232, C00355, C00483, C00530, C00544, C00547, C00628, C00642, C00788, C00811, C00822, C01036, C01060, C01061, C01161, C01179, C01384, C01693, C01829, C01850, C02167, C02442, C02465, C02514, C02515, C03063, C03077, C03758, C03765, C03964, C04043, C04045, C04052, C04185, C04186, C04368, C04642, C04796, C04797, C05338, C05350, C05576, C05577, C05578, C05579, C05580, C05581, C05582, C05583, C05584, C05585, C05587, C05588, C05589, C05593, C05594, C05595, C05596, C05600, C05604, C06044, C06046, C06047, C06048, C06199, C06201, C10447, C17935, C17936, C17937, C17938, C22038, C23042";7;"C00042, C00082, C00122, C00642, C00788, C05576, C05584";8,86;"C00082/C00642";2;2,53
"434";"Ubiquinone and other terpenoid-quinone biosynthesis";"1/37";"4/259";0,25;1,75;0,61596409368232;0,462325444045142;0,671321877654589;0,56665699702721;74;"C00082, C00156, C00223, C00251, C00341, C00353, C00390, C00399, C00423, C00544, C00811, C00828, C00885, C01179, C02059, C02477, C02483, C02730, C02949, C03160, C03313, C03657, C03964, C03993, C04145, C05427, C05807, C05817, C05819, C05847, C05848, C05849, C06986, C10793, C13309, C14151, C14152, C14153, C14154, C14155, C14156, C15547, C15882, C15883, C16519, C16695, C16999, C17010, C17017, C17018, C17412, C17551, C17552, C17554, C17559, C17561, C17562, C17570, C18131, C18132, C18133, C18134, C18135, C19847, C19858, C19859, C20265, C20737, C20738, C20772, C20773, C21084, C21860, C22039";4;"C00082, C02477, C02483, C14152";5,41;"C00082";1;1,35
"435";"Valine, leucine and isoleucine biosynthesis";"4/37";"7/259";0,571428571428571;4;3,278719262151;0,00909679459207073;0,0741738635968845;0,0626095174353047;23;"C00022, C00024, C00109, C00123, C00141, C00183, C00188, C00233, C00407, C00671, C02226, C02504, C02612, C02631, C04181, C04236, C04272, C04411, C06006, C06007, C06010, C06032, C14463";7;"C00123, C00183, C00188, C00233, C00407, C00671, C02504";30,43;"C00123/C00183/C00188/C00407";4;17,39
"436";"Valine, leucine and isoleucine degradation";"3/37";"5/259";0,6;4,2;2,94409859472013;0,0220186521581757;0,13729277228039;0,115887642937767;42;"C00024, C00068, C00091, C00100, C00123, C00141, C00164, C00183, C00233, C00332, C00349, C00356, C00407, C00630, C00671, C00683, C01205, C01213, C02170, C02939, C03069, C03231, C03284, C03344, C03345, C03460, C04405, C05996, C05998, C06000, C06001, C06002, C15972, C15973, C15974, C15975, C15976, C15977, C15978, C15979, C15980, C20827";5;"C00123, C00183, C00233, C00407, C00671";11,9;"C00123/C00183/C00407";3;7,14
"437";"Vancomycin resistance";"1/37";"4/259";0,25;1,75;0,61596409368232;0,462325444045142;0,671321877654589;0,56665699702721;24;"C00022, C00037, C00041, C00043, C00065, C00133, C00256, C00740, C00993, C04702, C05892, C06432, C06689, C15820, C19694, C19719, C20869, C20873, C20874, C20875, C20880, C20881, C20882, C20886";4;"C00037, C00041, C00065, C00993";16,67;"C00065";1;4,17
"438";"Vascular smooth muscle contraction";NA;NA;NA;NA;NA;NA;NA;NA;13;"C00165, C00212, C00219, C00547, C00575, C00942, C01245, C01312, C14748, C14768, C14769, C14770, C14771";2;"C00212, C00219";15,38;NA;0;0
"439";"Vasopressin-regulated water reabsorption";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00575";0;NA;0;NA;0;0
"440";"VEGF signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00165, C01245, C01312, C05981";0;NA;0;NA;0;0
"441";"Vibrio cholerae infection";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00165, C00575, C01245, C04911";0;NA;0;NA;0;0
"442";"Virion - Flavivirus and Alphavirus";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00607, C00925";0;NA;0;NA;0;0
"443";"Virion - Hepatitis viruses";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00925";0;NA;0;NA;0;0
"444";"Virion - Human immunodeficiency virus";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00925";0;NA;0;NA;0;0
"445";"Virion - Orthopoxvirus";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00607, C00925";0;NA;0;NA;0;0
"446";"Vitamin B6 metabolism";NA;NA;NA;NA;NA;NA;NA;NA;29;"C00018, C00064, C00117, C00118, C00232, C00250, C00266, C00279, C00314, C00534, C00627, C00647, C00847, C00971, C01215, C01270, C03393, C04106, C04604, C04690, C04773, C06050, C06051, C06052, C06054, C06055, C06056, C07335, C11638";3;"C00064, C00250, C00847";10,34;NA;0;0
"447";"Vitamin digestion and absorption";"3/37";"9/259";0,333333333333333;2,33333333333333;1,65891530826622;0,122457151461916;0,370870230141804;0,313048357120688;39;"C00003, C00010, C00016, C00018, C00061, C00068, C00072, C00120, C00153, C00187, C00194, C00250, C00255, C00376, C00378, C00422, C00473, C00504, C00534, C00647, C00681, C00828, C00864, C01558, C01885, C02059, C02075, C02094, C02112, C02477, C02530, C02823, C05377, C05443, C05552, C06453, C08230, C12981, C13202";9;"C00003, C00016, C00072, C00153, C00187, C00250, C00255, C00864, C02477";23,08;"C00016/C00255/C00864";3;7,69
