"";"KEGG";"InputID_select";"corrected_during_checkmatch";"Metabolite";"manual_correction";"correction_tbl"
"287";"C06427";"KEGG";FALSE;"linolenate [alpha or gamma, (18:3n3 or 6)]";FALSE;NA
"288";"C06428";"KEGG";FALSE;"eicosapentaenoate (EPA, 20:5n3)";FALSE;NA
"289";"C06429";"KEGG";FALSE;"docosapentaenoate (n6 DPA, 22:5n6)";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"290";"C06429";"KEGG";FALSE;"docosahexaenoate (DHA, 22:6n3)";FALSE;NA
"291";"C06429";"KEGG";FALSE;"docosapentaenoate (n6 DPA, 22:5n6)";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"292";"C06429";"KEGG";FALSE;"docosahexaenoate (DHA, 22:6n3)";FALSE;NA
"293";"C06527";"KEGG";FALSE;"quinidine";FALSE;NA
"294";"C06804";"KEGG";FALSE;"4-acetamidophenol";FALSE;NA
"295";"C06804";"KEGG";FALSE;"4-acetaminophen sulfate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"296";"C06804";"KEGG";FALSE;"4-acetamidophenol";FALSE;NA
"297";"C06804";"KEGG";FALSE;"4-acetaminophen sulfate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"298";"C06834";"KEGG";FALSE;"lipitor";FALSE;NA
"299";"C07041";"KEGG";FALSE;"hydrochlorothiazide";FALSE;NA
"300";"C07073";"KEGG";FALSE;"lidocaine";FALSE;NA
"301";"C07151";"KEGG";FALSE;"metformin";FALSE;NA
"302";"C07187";"KEGG";FALSE;"venlafaxine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"303";"C07202";"KEGG";FALSE;"metoprolol";FALSE;NA
"304";"C07326";"KEGG";FALSE;"1,5-anhydroglucitol (1,5-AG)";FALSE;NA
"305";"C07415";"KEGG";FALSE;"paroxetine";FALSE;NA
"306";"C07480";"KEGG";FALSE;"theobromine";FALSE;NA
"307";"C07572";"KEGG";FALSE;"citalopram";FALSE;NA
"308";"C07588";"KEGG";FALSE;"2-hydroxyhippurate (salicylurate)";FALSE;NA
"309";"C07589";"KEGG";FALSE;"celecoxib";FALSE;NA
"310";"C08257";"KEGG";FALSE;"quebrachitol";FALSE;NA
"311";"C08261";"KEGG";FALSE;"azelate (nonanedioate)";FALSE;NA
