"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB"
"144";"N1-Methyl-2-pyridone-5-carboxamide";"701-44-0";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"40469";"LC/MS Pos";"1707.3";"153.19999999999999";"69698";"C05842";"HMDB04193"
"145";"N1-methyladenosine";"15763-06-1";"Nucleotide";"Purine metabolism, adenine containing";"15650";"LC/MS Pos";"1356";"282.10000000000002";"27476";"C02494";"HMDB03331"
"146";"N1-methylguanosine";"2140-65-0";"Nucleotide";"Purine metabolism, guanine containing";"31609";"LC/MS Pos";"1850";"298.10000000000002";"96373";NA;"HMDB01563"
"147";"N2,N2-dimethylguanosine";"2140-67-2";"Nucleotide";"Purine metabolism, guanine containing";"35137";"LC/MS Pos";"2157";"312.10000000000002";"92919";NA;"HMDB04824"
"148";"N2-acetyllysine";"1946-82-3";"Amino acid";"Lysine metabolism";"36751";"LC/MS Pos";"853";"189.1";"92907";"C12989";"HMDB00446"
"149";"N2-methylguanosine";"2140-77-4";"Nucleotide";"Purine metabolism, guanine containing";"35133";"LC/MS Pos";"1950";"298.10000000000002";"3035422";NA;"HMDB05862"
"150";"N6-acetyllysine";"692-04-6";"Amino acid";"Lysine metabolism";"36752";"LC/MS Pos";"1134";"189.1";"92832";"C02727";"HMDB00206"
"151";"N6-carbamoylthreonyladenosine";"24719-82-2";"Nucleotide";"Purine metabolism, guanine containing";"35157";"LC/MS Pos";"2656";"413";NA;NA;NA
"152";"S-adenosylhomocysteine (SAH)";"979-92-0";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"15948";"LC/MS Neg";"1821";"383.1";NA;"C00021";"HMDB00939"
"153";"S-adenosylmethionine (SAM)";"24346-00-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"15915";"LC/MS Pos";"676";"399.1";NA;NA;NA
"154";"S-methylcysteine";"1187-84-4";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"40262";"GC/MS";"1447.8";"162.1";"24417";NA;"HMDB02108"
"155";"VGAHAGEYGAEALER*";NA;"Peptide";"Polypeptide";"35211";"LC/MS Pos";"2542";"765.8";NA;NA;NA
"156";"acetylcarnitine";"5080-50-2";"Lipid";"Carnitine metabolism";"32198";"LC/MS Pos";"1203";"204.2";"7045767";"C02571";"HMDB00201"
"157";"adenine";"73-24-5";"Nucleotide";"Purine metabolism, adenine containing";"554";"GC/MS";"1804.2";"264";"190";"C00147";"HMDB00034"
"158";"adenosine";"58-61-7";"Nucleotide";"Purine metabolism, adenine containing";"555";"LC/MS Pos";"1650";"268.10000000000002";"60961";"C00212";"HMDB00050"
"159";"adenosine 2'-monophosphate (2'-AMP)";"130-49-4";"Nucleotide";"Purine metabolism, adenine containing";"36815";"LC/MS Pos";"1625";"348.1";NA;"C00946";"HMDB11617"
"160";"adenosine 3'-monophosphate (3'-AMP)";"84-21-9";"Nucleotide";"Purine metabolism, adenine containing";"35142";"LC/MS Pos";"1451";"348.1";"41211";"C01367";"HMDB03540"
